timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1584982864454,22,Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,32286,361,1,1,null,0,341,0
1584982864794,22,Open Home Page,200,OK,Thread Group 1-1,text,true,,32286,361,1,1,http://192.168.1.8/demo/,22,0,1
1584982864817,6,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,5711,1413,1,1,null,0,739,0
1584982865436,3,Login.Open,200,OK,Thread Group 1-1,text,true,,4543,379,1,1,http://192.168.1.8/demo/Account/login.aspx,3,0,0
1584982865559,3,Login.Submit,302,Found,Thread Group 1-1,text,true,,1168,1034,1,1,http://192.168.1.8/demo/Account/login.aspx,3,0,0
1584982865781,13,Open Predefined Date,200,OK,Thread Group 1-1,text,true,,36634,1153,1,1,http://192.168.1.8/demo/2019/09/10/default,12,0,0
1584982866129,16,Open Random Page,200,OK,Thread Group 1-1,text,true,,36391,2287,1,1,http://192.168.1.8/demo/?page=14),2,0,0
1584982866129,2,Open Random Page-0,301,Moved Permanently,Thread Group 1-1,text,true,,384,1143,1,1,http://192.168.1.8/demo?page=14),2,0,0
1584982866131,14,Open Random Page-1,200,OK,Thread Group 1-1,text,true,,36007,1144,1,1,http://192.168.1.8/demo/?page=14),14,0,0
1584982866145,7,Edit,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,22277,1225,1,1,null,0,284,0
1584982866429,7,Edit page,200,OK,Thread Group 1-1,text,true,,22277,1225,1,1,http://192.168.1.8/demo/admin/app/editor/editpost.cshtml?id=cbec41fa-fc6e-4ec5-9918-23123b6ef2bc,5,0,0
1584982866547,3,Open Random Page,301,Moved Permanently,Thread Group 1-1,text,true,,384,1143,1,1,http://192.168.1.8/demo?page=14),3,0,0
1584982866547,3,Open Random Page-0,301,Moved Permanently,Thread Group 1-1,text,true,,384,1143,1,1,http://192.168.1.8/demo?page=14),3,0,0
1584982866550,2,Edit,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,22035,1198,1,1,null,0,189,0
1584982866739,2,Edit page,200,OK,Thread Group 1-1,text,true,,22035,1198,1,1,http://192.168.1.8/demo/admin/app/editor/editpost.cshtml?id=NOT_FOUND,1,0,0
1584982867187,4,Open Random Page,301,Moved Permanently,Thread Group 1-1,text,true,,384,1143,1,1,http://192.168.1.8/demo?page=14),4,0,1
